model,dataset,metric,point_estimate,ci_lower,ci_upper,n
BaselineCNN,inter-patient (DS2),overall_accuracy,0.8052976248656045,0.8018433800584472,0.8087060207746815,51155
BaselineCNN,inter-patient (DS2),N_recall,0.8283234642679564,0.8247812834286212,0.831808639657045,44246
BaselineCNN,inter-patient (DS2),N_precision,0.9497525201482288,0.9475277918567265,0.9518877134005711,38589
BaselineCNN,inter-patient (DS2),S_recall,0.08655416439847577,0.07454325858541552,0.1002906236473742,1837
BaselineCNN,inter-patient (DS2),S_precision,0.05099422706863374,0.04381017320175643,0.059283293608141364,3118
BaselineCNN,inter-patient (DS2),V_recall,0.8894409937888199,0.8781422768699836,0.8998116120031516,3220
BaselineCNN,inter-patient (DS2),V_precision,0.4500314267756128,0.43784234612338885,0.4622807954289157,6364
BaselineCNN,inter-patient (DS2),F_recall,0.2706185567010309,0.22882037875015884,0.31691426470559547,388
BaselineCNN,inter-patient (DS2),F_precision,0.07211538461538461,0.059924096083417186,0.08655856306331093,1456
BaselineCNN,inter-patient (DS2),Q_recall,0.967896174863388,0.9575710799616745,0.9757722261339968,1464
BaselineCNN,inter-patient (DS2),Q_precision,0.8703931203931204,0.8532018872314313,0.8858404955203569,1628
LiteECGCNN,inter-patient (DS2),overall_accuracy,0.8799726321962662,0.8771277626360495,0.8827604383368296,51155
LiteECGCNN,inter-patient (DS2),N_recall,0.9340957374677937,0.9317459749056927,0.9363701297756861,44246
LiteECGCNN,inter-patient (DS2),N_precision,0.9376772466365678,0.9353820860996348,0.9398961237331641,44077
LiteECGCNN,inter-patient (DS2),S_recall,0.004354926510615134,0.0022083465863094076,0.008570125794144933,1837
LiteECGCNN,inter-patient (DS2),S_precision,0.25,0.1325240091850904,0.4210655899424449,32
LiteECGCNN,inter-patient (DS2),V_recall,0.8236024844720496,0.8100539519282103,0.8363798217606307,3220
LiteECGCNN,inter-patient (DS2),V_precision,0.7424412094064949,0.7278456873766478,0.7565158314282744,3572
LiteECGCNN,inter-patient (DS2),F_recall,0.015463917525773196,0.0071060219722889235,0.03332221364211335,388
LiteECGCNN,inter-patient (DS2),F_precision,0.0035231943628890195,0.0016156813799748089,0.0076654728472253224,1703
LiteECGCNN,inter-patient (DS2),Q_recall,0.6960382513661202,0.6719889279279028,0.7190614791515975,1464
LiteECGCNN,inter-patient (DS2),Q_precision,0.5753811405985318,0.5522217535219559,0.5982142184760219,1771
LiteECGDSCNN,inter-patient (DS2),overall_accuracy,0.8707457726517447,0.8678107283646062,0.873625139187864,51155
LiteECGDSCNN,inter-patient (DS2),N_recall,0.9314288297247209,0.9290363659847913,0.9337463862546442,44246
LiteECGDSCNN,inter-patient (DS2),N_precision,0.9306085582025516,0.9282042456530964,0.9329381717989663,44285
LiteECGDSCNN,inter-patient (DS2),S_recall,0.007076755579749592,0.00414037464455288,0.012070396075382765,1837
LiteECGDSCNN,inter-patient (DS2),S_precision,0.04710144927536232,0.027730006199251242,0.07890701229847882,276
LiteECGDSCNN,inter-patient (DS2),V_recall,0.7527950310559006,0.7375996102191266,0.7673880018564173,3220
LiteECGDSCNN,inter-patient (DS2),V_precision,0.7460757156048015,0.7308247471535118,0.7607454754480262,3249
LiteECGDSCNN,inter-patient (DS2),F_recall,0.07989690721649484,0.05685556290119755,0.11117530095597036,388
LiteECGDSCNN,inter-patient (DS2),F_precision,0.023343373493975902,0.01649334894680205,0.03294305985743714,1328
LiteECGDSCNN,inter-patient (DS2),Q_recall,0.5894808743169399,0.564079844838351,0.6144135465463685,1464
LiteECGDSCNN,inter-patient (DS2),Q_precision,0.42786316311353495,0.40642815358328366,0.44957242541818865,2017
ResCNN,inter-patient (DS2),overall_accuracy,0.8801485680774118,0.8773054685180496,0.882934577795473,51155
ResCNN,inter-patient (DS2),N_recall,0.9209194051439679,0.9183681773152791,0.9233975504707365,44246
ResCNN,inter-patient (DS2),N_precision,0.9454499048679753,0.9432658739684648,0.9475545341731076,43098
ResCNN,inter-patient (DS2),S_recall,0.11322808927599347,0.09953757274458258,0.12853283321512396,1837
ResCNN,inter-patient (DS2),S_precision,0.07810739767179872,0.06851259162763085,0.08891763634188352,2663
ResCNN,inter-patient (DS2),V_recall,0.8767080745341614,0.8649013636452818,0.8876170312535323,3220
ResCNN,inter-patient (DS2),V_precision,0.7157707910750507,0.7014894146307938,0.7296322547050421,3944
ResCNN,inter-patient (DS2),F_recall,0.04381443298969072,0.027532889163230656,0.0690405028779885,388
ResCNN,inter-patient (DS2),F_precision,0.14285714285714285,0.09114539833236043,0.21690580184045352,119
ResCNN,inter-patient (DS2),Q_recall,0.8394808743169399,0.8197922113227678,0.8573926399612448,1464
ResCNN,inter-patient (DS2),Q_precision,0.9233658903080391,0.9078253557825834,0.9364696670852876,1331
