class,precision,recall,f1-score,support,model
N,0.9497525201482288,0.8283234642679564,0.884891652079435,44246.0,BaselineCNN
S,0.0509942270686337,0.0865541643984757,0.0641775983854692,1837.0,BaselineCNN
V,0.4500314267756128,0.8894409937888199,0.5976627712854758,3220.0,BaselineCNN
F,0.0721153846153846,0.2706185567010309,0.113882863340564,388.0,BaselineCNN
Q,0.8703931203931204,0.967896174863388,0.9165588615782664,1464.0,BaselineCNN
accuracy,0.8052976248656045,0.8052976248656045,0.8052976248656045,0.8052976248656045,BaselineCNN
macro avg,0.478657335800196,0.6085666708039341,0.5154347493338421,51155.0,BaselineCNN
weighted avg,0.8770943972887768,0.8052976248656045,0.8323978718406168,51155.0,BaselineCNN
N,0.9376772466365678,0.9340957374677936,0.9358830655661604,44246.0,LiteECGCNN
S,0.25,0.0043549265106151,0.0085607276618512,1837.0,LiteECGCNN
V,0.7424412094064949,0.8236024844720496,0.7809187279151943,3220.0,LiteECGCNN
F,0.003523194362889,0.0154639175257731,0.0057388809182209,388.0,LiteECGCNN
Q,0.5753811405985318,0.6960382513661202,0.629984544049459,1464.0,LiteECGCNN
accuracy,0.8799726321962662,0.8799726321962662,0.8799726321962662,0.8799726321962662,LiteECGCNN
macro avg,0.5018045582008968,0.4947110634684703,0.4722171892221772,51155.0,LiteECGCNN
weighted avg,0.8832392364034707,0.8799726321962662,0.8770186792674568,51155.0,LiteECGCNN
N,0.9306085582025516,0.9314288297247209,0.9310185132891304,44246.0,LiteECGDSCNN
S,0.0471014492753623,0.0070767555797495,0.0123047799337434,1837.0,LiteECGDSCNN
V,0.7460757156048015,0.7527950310559006,0.7494203122584634,3220.0,LiteECGDSCNN
F,0.0233433734939759,0.0798969072164948,0.0361305361305361,388.0,LiteECGDSCNN
Q,0.4278631631135349,0.5894808743169399,0.4958345303073829,1464.0,LiteECGDSCNN
accuracy,0.8707457726517447,0.8707457726517447,0.8707457726517447,0.8707457726517447,LiteECGDSCNN
macro avg,0.4349984519380452,0.4721356795787612,0.4449417343838512,51155.0,LiteECGDSCNN
weighted avg,0.8659963704918439,0.8707457726517447,0.8673541750677364,51155.0,LiteECGDSCNN
N,0.9454499048679752,0.920919405143968,0.9330234475178604,44246.0,ResCNN
S,0.0781073976717987,0.1132280892759934,0.0924444444444444,1837.0,ResCNN
V,0.7157707910750507,0.8767080745341614,0.788107202680067,3220.0,ResCNN
F,0.1428571428571428,0.0438144329896907,0.0670611439842209,388.0,ResCNN
Q,0.9233658903080392,0.8394808743169399,0.8794275491949911,1464.0,ResCNN
accuracy,0.8801485680774118,0.8801485680774118,0.8801485680774118,0.8801485680774118,ResCNN
macro avg,0.5611102253560013,0.5588301752521507,0.5520127575643168,51155.0,ResCNN
weighted avg,0.8931263407763215,0.8801485680774118,0.8856139722771352,51155.0,ResCNN
