model,dataset,metric,point_estimate,ci_lower,ci_upper,n
BaselineCNN,intra-patient,overall_accuracy,0.9895185645763013,0.9881023327751248,0.9907677911690951,22516
BaselineCNN,intra-patient,N_recall,0.9961924732369496,0.995184581548865,0.9969900460874334,18122
BaselineCNN,intra-patient,N_precision,0.9933967974467617,0.9921105060149312,0.9944745418123763,18173
BaselineCNN,intra-patient,S_recall,0.8812949640287769,0.8517588459776547,0.9055984260135191,556
BaselineCNN,intra-patient,S_precision,0.9459459459459459,0.9229863216559904,0.9623400398103266,518
BaselineCNN,intra-patient,V_recall,0.9682100898410505,0.9578581639398513,0.9760826135048475,1447
BaselineCNN,intra-patient,V_precision,0.9729166666666667,0.9631914955715837,0.9801253704730157,1440
BaselineCNN,intra-patient,F_recall,0.78125,0.7110129877684279,0.8382985274476005,160
BaselineCNN,intra-patient,F_precision,0.8445945945945946,0.777596026541791,0.8941572666114926,148
BaselineCNN,intra-patient,Q_recall,0.9910354101299865,0.9861934400420315,0.9941893031509336,2231
BaselineCNN,intra-patient,Q_precision,0.9883772910147519,0.9830240876691178,0.9920560508204289,2237
LiteECGCNN,intra-patient,overall_accuracy,0.9709095754130396,0.9686328014110683,0.9730256928894727,22516
LiteECGCNN,intra-patient,N_recall,0.9942059375344885,0.9929913312502654,0.9952110670049268,18122
LiteECGCNN,intra-patient,N_precision,0.9754737412019491,0.9731422284766482,0.9776075134842328,18470
LiteECGCNN,intra-patient,S_recall,0.5377697841726619,0.49621048398660567,0.5788107552200673,556
LiteECGCNN,intra-patient,S_precision,0.8494318181818182,0.8083107058517859,0.8830084024254697,352
LiteECGCNN,intra-patient,V_recall,0.9384934346924672,0.9249152856878182,0.9497495457345602,1447
LiteECGCNN,intra-patient,V_precision,0.9326923076923077,0.9186506058233881,0.9444568175113812,1456
LiteECGCNN,intra-patient,F_recall,0.71875,0.6445855244726805,0.7826567651397861,160
LiteECGCNN,intra-patient,F_precision,0.8778625954198473,0.8107911499346616,0.9234044073208081,131
LiteECGCNN,intra-patient,Q_recall,0.9287315105333931,0.917302720388475,0.9386864113906862,2231
LiteECGCNN,intra-patient,Q_precision,0.9833887043189369,0.9769861262166549,0.9880318724055871,2107
LiteECGDSCNN,intra-patient,overall_accuracy,0.9698880795878486,0.9675744802751454,0.972041370870731,22516
LiteECGDSCNN,intra-patient,N_recall,0.988411875068977,0.9867469044306132,0.9898698247963527,18122
LiteECGDSCNN,intra-patient,N_precision,0.9807271134472185,0.978629798418205,0.9826222487699475,18264
LiteECGDSCNN,intra-patient,S_recall,0.685251798561151,0.6454896544479775,0.7224716616609418,556
LiteECGDSCNN,intra-patient,S_precision,0.7871900826446281,0.7485384108128794,0.8213188552588397,484
LiteECGDSCNN,intra-patient,V_recall,0.9343469246717346,0.9204006908360796,0.9459930783506263,1447
LiteECGDSCNN,intra-patient,V_precision,0.9292096219931272,0.9148700035272237,0.9412888288449197,1455
LiteECGDSCNN,intra-patient,F_recall,0.65,0.5733641388868363,0.7196020025617121,160
LiteECGDSCNN,intra-patient,F_precision,0.8888888888888888,0.8191460105557966,0.9339067983731886,117
LiteECGDSCNN,intra-patient,Q_recall,0.9363514119229045,0.9254522640160406,0.9457504749144491,2231
LiteECGDSCNN,intra-patient,Q_precision,0.9512750455373407,0.9414559053067345,0.9595181135493899,2196
ResCNN,intra-patient,overall_accuracy,0.988807958784864,0.9873480834390657,0.9901010713540831,22516
ResCNN,intra-patient,N_recall,0.9974064672773425,0.996553159157476,0.9980489419894983,18122
ResCNN,intra-patient,N_precision,0.9917695473251029,0.990350273343957,0.9929815549838564,18225
ResCNN,intra-patient,S_recall,0.8669064748201439,0.8361393155425174,0.8926384367508764,556
ResCNN,intra-patient,S_precision,0.9359223300970874,0.9113771385346344,0.9540124566233142,515
ResCNN,intra-patient,V_recall,0.9564616447823082,0.9446832754871787,0.9658228256231144,1447
ResCNN,intra-patient,V_precision,0.9864575908766928,0.9789452873914964,0.9913132953661029,1403
ResCNN,intra-patient,F_recall,0.775,0.7042871956457765,0.8328173970098957,160
ResCNN,intra-patient,F_precision,0.8266666666666667,0.7581400726100628,0.8788793677361272,150
ResCNN,intra-patient,Q_recall,0.9856566562079785,0.9798220675101156,0.9898216588701471,2231
ResCNN,intra-patient,Q_precision,0.9892037786774629,0.9839854694871563,0.9927342657165575,2223
BaselineCNN,inter-patient,overall_accuracy,0.8052976248656045,0.8018433800584472,0.8087060207746815,51155
BaselineCNN,inter-patient,N_recall,0.8283234642679564,0.8247812834286212,0.831808639657045,44246
BaselineCNN,inter-patient,N_precision,0.9497525201482288,0.9475277918567265,0.9518877134005711,38589
BaselineCNN,inter-patient,S_recall,0.08655416439847577,0.07454325858541552,0.1002906236473742,1837
BaselineCNN,inter-patient,S_precision,0.05099422706863374,0.04381017320175643,0.059283293608141364,3118
BaselineCNN,inter-patient,V_recall,0.8894409937888199,0.8781422768699836,0.8998116120031516,3220
BaselineCNN,inter-patient,V_precision,0.4500314267756128,0.43784234612338885,0.4622807954289157,6364
BaselineCNN,inter-patient,F_recall,0.2706185567010309,0.22882037875015884,0.31691426470559547,388
BaselineCNN,inter-patient,F_precision,0.07211538461538461,0.059924096083417186,0.08655856306331093,1456
BaselineCNN,inter-patient,Q_recall,0.967896174863388,0.9575710799616745,0.9757722261339968,1464
BaselineCNN,inter-patient,Q_precision,0.8703931203931204,0.8532018872314313,0.8858404955203569,1628
LiteECGCNN,inter-patient,overall_accuracy,0.8799726321962662,0.8771277626360495,0.8827604383368296,51155
LiteECGCNN,inter-patient,N_recall,0.9340957374677937,0.9317459749056927,0.9363701297756861,44246
LiteECGCNN,inter-patient,N_precision,0.9376772466365678,0.9353820860996348,0.9398961237331641,44077
LiteECGCNN,inter-patient,S_recall,0.004354926510615134,0.0022083465863094076,0.008570125794144933,1837
LiteECGCNN,inter-patient,S_precision,0.25,0.1325240091850904,0.4210655899424449,32
LiteECGCNN,inter-patient,V_recall,0.8236024844720496,0.8100539519282103,0.8363798217606307,3220
LiteECGCNN,inter-patient,V_precision,0.7424412094064949,0.7278456873766478,0.7565158314282744,3572
LiteECGCNN,inter-patient,F_recall,0.015463917525773196,0.0071060219722889235,0.03332221364211335,388
LiteECGCNN,inter-patient,F_precision,0.0035231943628890195,0.0016156813799748089,0.0076654728472253224,1703
LiteECGCNN,inter-patient,Q_recall,0.6960382513661202,0.6719889279279028,0.7190614791515975,1464
LiteECGCNN,inter-patient,Q_precision,0.5753811405985318,0.5522217535219559,0.5982142184760219,1771
LiteECGDSCNN,inter-patient,overall_accuracy,0.8707457726517447,0.8678107283646062,0.873625139187864,51155
LiteECGDSCNN,inter-patient,N_recall,0.9314288297247209,0.9290363659847913,0.9337463862546442,44246
